epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,489.064,1.16182,1.41102,0.5879,1.00852,1.2822,0.95237,0.89074,0.9285,0.68082,0.9418,0.88065,0.91606,0.7762,1.00393,0.69837,0.37386,0.68181,1.04239,0.000664783,0.000664783,0.000664783
2,899.347,1.00071,0.67062,0.39787,0.72514,1.16605,0.97335,0.93505,0.98313,0.68681,0.96399,0.92545,0.96576,0.84035,1.07384,0.59274,0.24343,0.63205,1.02317,0.00131827,0.00131827,0.00131827
3,1305.9,0.9482,0.51585,0.29653,0.68579,1.13989,0.96659,0.93152,0.97288,0.65629,0.96062,0.92461,0.9653,0.88603,1.16384,0.49613,0.17963,0.699,1.04713,0.00195855,0.00195855,0.00195855
4,1697.31,0.90473,0.44398,0.24067,0.64176,1.1186,0.9808,0.95108,0.98983,0.76802,0.9762,0.94515,0.98356,0.94998,0.79515,0.29443,0.15961,0.5017,0.9262,0.0019406,0.0019406,0.0019406
5,2088.56,0.83611,0.36088,0.20061,0.59092,1.08242,0.97643,0.96405,0.99202,0.69971,0.98029,0.96144,0.9858,0.95203,1.0994,0.2801,0.13865,0.55685,1.02393,0.0019208,0.0019208,0.0019208
6,2498.98,0.80809,0.32107,0.17892,0.55931,1.06899,0.97877,0.9658,0.99286,0.83912,0.97598,0.95922,0.98515,0.96598,0.66392,0.2413,0.12808,0.42619,0.87355,0.001901,0.001901,0.001901
7,3854.97,0.76239,0.28988,0.16853,0.53795,1.05231,0.97053,0.97437,0.99234,0.82023,0.97691,0.95631,0.98765,0.96584,0.68128,0.22051,0.09767,0.41655,0.88228,0.0018812,0.0018812,0.0018812
8,7211.31,0.75323,0.27137,0.15681,0.51832,1.04304,0.99118,0.97091,0.99364,0.83654,0.98634,0.96709,0.99093,0.9764,0.64721,0.17551,0.0996,0.39545,0.85665,0.0018614,0.0018614,0.0018614
9,7641.89,0.72845,0.24383,0.14383,0.49731,1.03531,0.98785,0.97288,0.99375,0.87299,0.98548,0.96609,0.98983,0.97604,0.55895,0.16491,0.0842,0.37401,0.84402,0.0018416,0.0018416,0.0018416
10,8090.95,0.70009,0.22522,0.13455,0.48215,1.01613,0.9858,0.98271,0.99426,0.84572,0.98355,0.97373,0.99238,0.97793,0.63468,0.1752,0.07652,0.37153,0.84904,0.0018218,0.0018218,0.0018218
11,8595.43,0.69253,0.22152,0.12854,0.47262,1.01807,0.987,0.96676,0.99351,0.86614,0.98282,0.96243,0.98727,0.97637,0.56505,0.16582,0.08193,0.35432,0.84024,0.001802,0.001802,0.001802
12,9148.14,0.67911,0.20715,0.12156,0.46411,1.01547,0.98862,0.98214,0.99437,0.87472,0.98674,0.97906,0.99367,0.98323,0.55283,0.13429,0.07499,0.3468,0.836,0.0017822,0.0017822,0.0017822
13,9708.69,0.66671,0.20023,0.11921,0.4517,1.00308,0.9873,0.98239,0.99443,0.90035,0.98438,0.97706,0.99327,0.98235,0.48111,0.13519,0.08401,0.33148,0.81185,0.0017624,0.0017624,0.0017624
14,13433.3,0.65141,0.19194,0.11173,0.44513,0.99555,0.98818,0.97839,0.99432,0.89446,0.98482,0.97507,0.99343,0.98285,0.50041,0.14465,0.07346,0.33588,0.81856,0.0017426,0.0017426,0.0017426
15,13869.9,0.63594,0.19036,0.11119,0.43273,0.9932,0.98497,0.98105,0.99428,0.88122,0.9819,0.97377,0.9879,0.97702,0.53613,0.15682,0.07336,0.3442,0.8193,0.0017228,0.0017228,0.0017228
16,14315.5,0.63018,0.18816,0.1111,0.43021,0.98945,0.99224,0.97775,0.99446,0.89777,0.98921,0.9749,0.9938,0.98535,0.48179,0.12537,0.06629,0.32012,0.80662,0.001703,0.001703,0.001703
